date,ticker,weight
2018-01-31,006208,0.35
2018-01-31,CASH,0.65
2018-02-27,006208,0.35
2018-02-27,CASH,0.65
2018-03-31,006208,0.35
2018-03-31,CASH,0.65
2018-04-30,006208,0.35
2018-04-30,CASH,0.65
2018-05-31,006208,0.35
2018-05-31,CASH,0.65
2018-06-29,006208,0.35
2018-06-29,CASH,0.65
2018-07-31,006208,0.35
2018-07-31,2330,0.025
2018-07-31,2345,0.025
2018-07-31,2356,0.025
2018-07-31,6669,0.025
2018-07-31,CASH,0.55
2018-08-31,006208,0.35
2018-08-31,2308,0.02
2018-08-31,2330,0.02
2018-08-31,2345,0.02
2018-08-31,2356,0.02
2018-08-31,2383,0.02
2018-08-31,CASH,0.55
2018-09-28,006208,0.35
2018-09-28,2308,0.025
2018-09-28,2330,0.025
2018-09-28,2356,0.025
2018-09-28,2383,0.025
2018-09-28,CASH,0.55
2018-10-31,006208,0.35
2018-10-31,2308,0.08
2018-10-31,CASH,0.5700000000000001
2018-11-30,006208,0.35
2018-11-30,2308,0.05
2018-11-30,2345,0.05
2018-11-30,CASH,0.55
2018-12-28,006208,0.35
2018-12-28,2308,0.03333333333333333
2018-12-28,2345,0.03333333333333333
2018-12-28,2382,0.03333333333333333
2018-12-28,CASH,0.55
2019-01-30,006208,0.35
2019-01-30,2308,0.02
2019-01-30,2345,0.02
2019-01-30,2382,0.02
2019-01-30,3231,0.02
2019-01-30,6669,0.02
2019-01-30,CASH,0.55
2019-02-27,006208,0.35
2019-02-27,2308,0.02
2019-02-27,2382,0.02
2019-02-27,2383,0.02
2019-02-27,2454,0.02
2019-02-27,6669,0.02
2019-02-27,CASH,0.55
2019-03-29,006208,0.35
2019-03-29,2308,0.02
2019-03-29,2345,0.02
2019-03-29,2383,0.02
2019-03-29,3231,0.02
2019-03-29,6669,0.02
2019-03-29,CASH,0.55
2019-04-30,006208,0.5
2019-04-30,00631L,0.1
2019-04-30,2308,0.06999999999999999
2019-04-30,2345,0.06999999999999999
2019-04-30,2383,0.06999999999999999
2019-04-30,2454,0.06999999999999999
2019-04-30,3231,0.06999999999999999
2019-04-30,CASH,0.050000000000000044
2019-05-31,006208,0.35
2019-05-31,2345,0.02
2019-05-31,2356,0.02
2019-05-31,2382,0.02
2019-05-31,2454,0.02
2019-05-31,3231,0.02
2019-05-31,CASH,0.55
2019-06-28,006208,0.5
2019-06-28,2308,0.06999999999999999
2019-06-28,2345,0.06999999999999999
2019-06-28,2382,0.06999999999999999
2019-06-28,2454,0.06999999999999999
2019-06-28,3231,0.06999999999999999
2019-06-28,CASH,0.15000000000000013
2019-07-31,006208,0.5
2019-07-31,2330,0.06999999999999999
2019-07-31,2345,0.06999999999999999
2019-07-31,2383,0.06999999999999999
2019-07-31,2454,0.06999999999999999
2019-07-31,6669,0.06999999999999999
2019-07-31,CASH,0.15000000000000002
2019-08-30,006208,0.5
2019-08-30,2345,0.06999999999999999
2019-08-30,2383,0.06999999999999999
2019-08-30,2454,0.06999999999999999
2019-08-30,3231,0.06999999999999999
2019-08-30,6669,0.06999999999999999
2019-08-30,CASH,0.15000000000000013
2019-09-27,006208,0.5
2019-09-27,00631L,0.1
2019-09-27,2330,0.06999999999999999
2019-09-27,2345,0.06999999999999999
2019-09-27,2383,0.06999999999999999
2019-09-27,2454,0.06999999999999999
2019-09-27,6669,0.06999999999999999
2019-09-27,CASH,0.050000000000000044
2019-10-31,006208,0.5
2019-10-31,00631L,0.1
2019-10-31,2330,0.06999999999999999
2019-10-31,2345,0.06999999999999999
2019-10-31,2383,0.06999999999999999
2019-10-31,2454,0.06999999999999999
2019-10-31,6669,0.06999999999999999
2019-10-31,CASH,0.050000000000000044
2019-11-29,006208,0.5
2019-11-29,00631L,0.1
2019-11-29,2330,0.06999999999999999
2019-11-29,2345,0.06999999999999999
2019-11-29,2383,0.06999999999999999
2019-11-29,2454,0.06999999999999999
2019-11-29,6669,0.06999999999999999
2019-11-29,CASH,0.050000000000000044
2019-12-31,006208,0.5
2019-12-31,00631L,0.1
2019-12-31,2317,0.06999999999999999
2019-12-31,2330,0.06999999999999999
2019-12-31,2383,0.06999999999999999
2019-12-31,2454,0.06999999999999999
2019-12-31,6669,0.06999999999999999
2019-12-31,CASH,0.050000000000000044
2020-01-31,006208,0.5
2020-01-31,00631L,0.1
2020-01-31,2317,0.06999999999999999
2020-01-31,2330,0.06999999999999999
2020-01-31,2382,0.06999999999999999
2020-01-31,3231,0.06999999999999999
2020-01-31,6669,0.06999999999999999
2020-01-31,CASH,0.050000000000000155
2020-02-27,006208,0.5
2020-02-27,2330,0.08
2020-02-27,2356,0.08
2020-02-27,2382,0.08
2020-02-27,6669,0.08
2020-02-27,CASH,0.18000000000000016
2020-03-31,006208,0.35
2020-03-31,2356,0.05
2020-03-31,6669,0.05
2020-03-31,CASH,0.55
2020-04-30,006208,0.35
2020-04-30,2345,0.02
2020-04-30,2356,0.02
2020-04-30,2382,0.02
2020-04-30,2454,0.02
2020-04-30,6669,0.02
2020-04-30,CASH,0.55
2020-05-29,006208,0.35
2020-05-29,2345,0.02
2020-05-29,2382,0.02
2020-05-29,2383,0.02
2020-05-29,2454,0.02
2020-05-29,6669,0.02
2020-05-29,CASH,0.55
2020-06-30,006208,0.5
2020-06-30,00631L,0.1
2020-06-30,2345,0.06999999999999999
2020-06-30,2383,0.06999999999999999
2020-06-30,2454,0.06999999999999999
2020-06-30,3231,0.06999999999999999
2020-06-30,6669,0.06999999999999999
2020-06-30,CASH,0.050000000000000044
2020-07-31,006208,0.5
2020-07-31,00631L,0.1
2020-07-31,2308,0.06999999999999999
2020-07-31,2330,0.06999999999999999
2020-07-31,2382,0.06999999999999999
2020-07-31,2383,0.06999999999999999
2020-07-31,2454,0.06999999999999999
2020-07-31,CASH,0.050000000000000155
2020-08-31,006208,0.5
2020-08-31,00631L,0.1
2020-08-31,2308,0.06999999999999999
2020-08-31,2330,0.06999999999999999
2020-08-31,2345,0.06999999999999999
2020-08-31,2383,0.06999999999999999
2020-08-31,2454,0.06999999999999999
2020-08-31,CASH,0.050000000000000044
2020-09-30,006208,0.5
2020-09-30,00631L,0.1
2020-09-30,2308,0.08
2020-09-30,2330,0.08
2020-09-30,2382,0.08
2020-09-30,2454,0.08
2020-09-30,CASH,0.08000000000000007
2020-10-30,006208,0.5
2020-10-30,2308,0.08
2020-10-30,2330,0.08
2020-10-30,2454,0.08
2020-10-30,CASH,0.26
2020-11-30,006208,0.5
2020-11-30,00631L,0.1
2020-11-30,2308,0.06999999999999999
2020-11-30,2317,0.06999999999999999
2020-11-30,2330,0.06999999999999999
2020-11-30,2382,0.06999999999999999
2020-11-30,2454,0.06999999999999999
2020-11-30,CASH,0.050000000000000155
2020-12-31,006208,0.5
2020-12-31,00631L,0.1
2020-12-31,2308,0.06999999999999999
2020-12-31,2317,0.06999999999999999
2020-12-31,2330,0.06999999999999999
2020-12-31,2345,0.06999999999999999
2020-12-31,2454,0.06999999999999999
2020-12-31,CASH,0.050000000000000044
2021-01-29,006208,0.5
2021-01-29,00631L,0.1
2021-01-29,2308,0.06999999999999999
2021-01-29,2317,0.06999999999999999
2021-01-29,2330,0.06999999999999999
2021-01-29,2345,0.06999999999999999
2021-01-29,2454,0.06999999999999999
2021-01-29,CASH,0.050000000000000044
2021-02-26,006208,0.5
2021-02-26,00631L,0.1
2021-02-26,2308,0.06999999999999999
2021-02-26,2317,0.06999999999999999
2021-02-26,2330,0.06999999999999999
2021-02-26,2345,0.06999999999999999
2021-02-26,2454,0.06999999999999999
2021-02-26,CASH,0.050000000000000044
2021-03-31,006208,0.5
2021-03-31,00631L,0.1
2021-03-31,2308,0.06999999999999999
2021-03-31,2317,0.06999999999999999
